track_name,track_add_date,track_add_time,multiple_artists_bool,name_of_artists,album_name,album_release_date,album_release_date_precision,number_of_tracks_in_album,position_in_playlist,track_duration_ms,track_popularity,track_explicit,images_path,data_collection_date
Flowers,3/31/23,10:02:16,FALSE,['Miley Cyrus'],Endless Summer Vacation,3/10/23,day,13,1,200600,87,FALSE,./images/flowers_miley_cyrus.jpg,3/31/23
Kill Bill,3/31/23,10:02:16,FALSE,['SZA'],SOS,12/8/22,day,23,2,153946,94,FALSE,./images/kill_bill_sza.jpg,3/31/23
TQG,3/31/23,10:02:16,TRUE,"['KAROL G', 'Shakira']",MAÑANA SERÁ BONITO,2/24/23,day,17,3,197933,97,TRUE,./images/tqg_karol_g.jpg,3/31/23
BESO,3/31/23,10:02:16,TRUE,"['ROSALÍA', 'Rauw Alejandro']",RR,3/24/23,day,3,4,194543,87,FALSE,./images/beso_rosala.jpg,3/31/23
Boy's a liar Pt. 2,3/31/23,10:02:16,TRUE,"['PinkPantheress', 'Ice Spice']",Boy's a liar Pt. 2,2/3/23,day,2,5,131013,97,FALSE,./images/boys_a_liar_pt_2_pinkpantheress.jpg,3/31/23
Ella Baila Sola,3/31/23,10:02:16,TRUE,"['Eslabon Armado', 'Peso Pluma']",Ella Baila Sola,3/16/23,day,1,6,165671,90,FALSE,./images/ella_baila_sola_eslabon_armado.jpg,3/31/23
Die For You (with Ariana Grande) - Remix,3/31/23,10:02:16,TRUE,"['The Weeknd', 'Ariana Grande']",Starboy (Deluxe),3/14/23,day,21,7,232857,81,FALSE,./images/die_for_you_with_ariana_grande_remix_the_weeknd.jpg,3/31/23
As It Was,3/31/23,10:02:16,FALSE,['Harry Styles'],Harry's House,5/20/22,day,13,8,167303,91,FALSE,./images/as_it_was_harry_styles.jpg,3/31/23
La Bebe - Remix,3/31/23,10:02:16,TRUE,"['Yng Lvcas', 'Peso Pluma']",La Bebe (Remix),3/17/23,day,2,9,234352,86,TRUE,./images/la_bebe_remix_yng_lvcas.jpg,3/31/23
Creepin' (with The Weeknd & 21 Savage),3/31/23,10:02:16,TRUE,"['Metro Boomin', 'The Weeknd', '21 Savage']",HEROES & VILLAINS,12/2/22,day,15,10,221520,96,TRUE,./images/creepin_with_the_weeknd_21_savage_metro_boomin.jpg,3/31/23
Yandel 150,3/31/23,10:02:16,TRUE,"['Yandel', 'Feid']",Resistencia,1/13/23,day,17,11,216148,89,TRUE,./images/yandel_150_yandel.jpg,3/31/23
"Shakira: Bzrp Music Sessions, Vol. 53",3/31/23,10:02:16,TRUE,"['Bizarrap', 'Shakira']","Shakira: Bzrp Music Sessions, Vol. 53",1/11/23,day,1,12,214945,97,FALSE,./images/shakira_bzrp_music_sessions_vol_53_bizarrap.jpg,3/31/23
Calm Down (with Selena Gomez),3/31/23,10:02:16,TRUE,"['Rema', 'Selena Gomez']",Calm Down (with Selena Gomez),8/25/22,day,1,13,239317,94,FALSE,./images/calm_down_with_selena_gomez_rema.jpg,3/31/23
Coco Chanel,3/31/23,10:02:16,TRUE,"['Eladio Carrion', 'Bad Bunny']",3MEN2 KBRN,3/17/23,day,18,14,208125,88,TRUE,./images/coco_chanel_eladio_carrion.jpg,3/31/23
Like Crazy,3/31/23,10:02:16,FALSE,['Jimin'],FACE,3/24/23,day,6,15,212241,86,FALSE,./images/like_crazy_jimin.jpg,3/31/23
Anti-Hero,3/31/23,10:02:16,FALSE,['Taylor Swift'],Midnights,10/21/22,day,13,16,200690,93,FALSE,./images/antihero_taylor_swift.jpg,3/31/23
All Of The Girls You Loved Before,3/31/23,10:02:16,FALSE,['Taylor Swift'],All Of The Girls You Loved Before,8/23/19,day,1,17,221407,89,FALSE,./images/all_of_the_girls_you_loved_before_taylor_swift.jpg,3/31/23
Unholy (feat. Kim Petras),3/31/23,10:02:16,TRUE,"['Sam Smith', 'Kim Petras']",Gloria,1/27/23,day,13,18,156943,86,FALSE,./images/unholy_feat_kim_petras_sam_smith.jpg,3/31/23
Die For You,3/31/23,10:02:16,FALSE,['The Weeknd'],Starboy,11/24/16,day,18,19,260253,90,FALSE,./images/die_for_you_the_weeknd.jpg,3/31/23
I'm Good (Blue),3/31/23,10:02:16,TRUE,"['David Guetta', 'Bebe Rexha']",I'm Good (Blue),8/26/22,day,2,20,175238,94,TRUE,./images/im_good_blue_david_guetta.jpg,3/31/23
La Bachata,3/31/23,10:02:16,FALSE,['Manuel Turizo'],2000,3/17/23,day,15,21,162637,79,FALSE,./images/la_bachata_manuel_turizo.jpg,3/31/23
Last Night,3/31/23,10:02:16,FALSE,['Morgan Wallen'],One Thing At A Time,3/3/23,day,36,22,163854,86,TRUE,./images/last_night_morgan_wallen.jpg,3/31/23
PRC,3/31/23,10:02:16,TRUE,"['Peso Pluma', 'Natanael Cano']",PRC,1/23/23,day,1,23,184066,92,TRUE,./images/prc_peso_pluma.jpg,3/31/23
Hey Mor,3/31/23,10:02:16,TRUE,"['Ozuna', 'Feid']",OzuTochi,10/7/22,day,18,24,196600,91,FALSE,./images/hey_mor_ozuna.jpg,3/31/23
Here With Me,3/31/23,10:02:16,FALSE,['d4vd'],Here With Me,9/22/22,day,1,25,242484,93,FALSE,./images/here_with_me_d4vd.jpg,3/31/23
AMG,3/31/23,10:02:16,TRUE,"['Natanael Cano', 'Peso Pluma', 'Gabito Ballesteros']",AMG,11/24/22,day,1,26,174942,92,TRUE,./images/amg_natanael_cano.jpg,3/31/23
Until I Found You (with Em Beihold) - Em Beihold Version,3/31/23,10:02:16,TRUE,"['Stephen Sanchez', 'Em Beihold']",Until I Found You (Em Beihold Version),4/22/22,day,1,27,176440,92,FALSE,./images/until_i_found_you_with_em_beihold_em_beihold_version_stephen_sanchez.jpg,3/31/23
Eyes Closed,3/31/23,10:02:16,FALSE,['Ed Sheeran'],Eyes Closed (Piano Version),3/23/23,day,2,28,194848,58,FALSE,./images/eyes_closed_ed_sheeran.jpg,3/31/23
Starboy,3/31/23,10:02:16,TRUE,"['The Weeknd', 'Daft Punk']",Starboy,11/25/16,day,18,29,230453,92,TRUE,./images/starboy_the_weeknd.jpg,3/31/23
Another Love,3/31/23,10:02:16,FALSE,['Tom Odell'],Long Way Down,6/17/13,day,10,30,244360,62,TRUE,./images/another_love_tom_odell.jpg,3/31/23
I Wanna Be Yours,3/31/23,10:02:16,FALSE,['Arctic Monkeys'],AM,9/9/13,day,12,31,183956,92,FALSE,./images/i_wanna_be_yours_arctic_monkeys.jpg,3/31/23
"Arcángel: Bzrp Music Sessions, Vol. 54",3/31/23,10:02:16,TRUE,"['Bizarrap', 'Arcángel']","Arcángel: Bzrp Music Sessions, Vol. 54",3/22/23,day,1,32,223019,85,FALSE,./images/arcngel_bzrp_music_sessions_vol_54_bizarrap.jpg,3/31/23
golden hour,3/31/23,10:02:16,FALSE,['JVKE'],this is what ____ feels like (Vol. 1-4),9/23/22,day,12,33,209259,89,FALSE,./images/golden_hour_jvke.jpg,3/31/23
"Quevedo: Bzrp Music Sessions, Vol. 52",3/31/23,10:02:16,TRUE,"['Bizarrap', 'Quevedo']","Quevedo: Bzrp Music Sessions, Vol. 52",7/6/22,day,1,34,198937,92,FALSE,./images/quevedo_bzrp_music_sessions_vol_52_bizarrap.jpg,3/31/23
Escapism.,3/31/23,10:02:16,TRUE,"['RAYE', '070 Shake']",My 21st Century Blues,2/3/23,day,15,35,272373,81,TRUE,./images/escapism_raye.jpg,3/31/23
Set Me Free Pt.2,3/31/23,10:02:16,FALSE,['Jimin'],Set Me Free Pt.2,3/17/23,day,1,36,200929,89,TRUE,./images/set_me_free_pt2_jimin.jpg,3/31/23
Cupid - Twin Ver.,3/31/23,10:02:16,FALSE,['FIFTY FIFTY'],The Beginning: Cupid,2/24/23,day,3,37,174253,86,FALSE,./images/cupid_twin_ver_fifty_fifty.jpg,3/31/23
I Ain't Worried,3/31/23,10:02:16,FALSE,['OneRepublic'],OneRepublic (Japan Paradise Tour Edition),2/15/23,day,18,38,148120,51,FALSE,./images/i_aint_worried_onerepublic.jpg,3/31/23
OMG,3/31/23,10:02:16,FALSE,['NewJeans'],NewJeans 'OMG',1/2/23,day,2,39,212253,93,FALSE,./images/omg_newjeans.jpg,3/31/23
Mockingbird,3/31/23,10:02:16,FALSE,['Eminem'],Encore (Deluxe Version),11/12/04,day,23,40,250760,91,TRUE,./images/mockingbird_eminem.jpg,3/31/23
Feliz Cumpleaños Ferxxo,3/31/23,10:02:16,FALSE,['Feid'],FELIZ CUMPLEAÑOS FERXXO TE PIRATEAMOS EL ÁLBUM,9/14/22,day,15,41,155960,89,FALSE,./images/feliz_cumpleaos_ferxxo_feid.jpg,3/31/23
Players,3/31/23,10:02:16,FALSE,['Coi Leray'],Players,11/30/22,day,1,42,139560,92,TRUE,./images/players_coi_leray.jpg,3/31/23
Shorty Party,3/31/23,10:02:16,TRUE,"['Cartel De Santa', 'La Kelly']",Shorty Party,3/4/23,day,1,43,265000,90,TRUE,./images/shorty_party_cartel_de_santa.jpg,3/31/23
